datum gepubliceerd,dossier nr,dossier toevoeging,kamerstuk volgnummer,url,commissie
2015-05-01,27830,,152,https://zoek.officielebekendmakingen.nl/kst-27830-152,"vaste commissie voor Defensie"
2015-05-01,21501,04,171,https://zoek.officielebekendmakingen.nl/kst-21501-04-171,"algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking"
2015-05-06,33870,,4,https://zoek.officielebekendmakingen.nl/kst-33870-4,"vaste commissie voor Veiligheid en Justitie"
2015-05-06,31497,,168,https://zoek.officielebekendmakingen.nl/kst-31497-168,"vaste commissie voor Onderwijs, Cultuur en Wetenschap"
2015-05-06,21501,02,1494,https://zoek.officielebekendmakingen.nl/kst-21501-02-1494,"algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking"
2015-05-21,31568,,160,https://zoek.officielebekendmakingen.nl/kst-31568-160,"vaste commissie voor Koninkrijksrelaties"
2015-05-21,29270,,104,https://zoek.officielebekendmakingen.nl/kst-29270-104,"vaste commissie voor Veiligheid en Justitie"
2015-05-21,34033,,4,https://zoek.officielebekendmakingen.nl/kst-34033-4,"vaste commissie voor Financiën"
2015-05-21,24515,,305,https://zoek.officielebekendmakingen.nl/kst-24515-305,"vaste commissie voor Sociale Zaken en Werkgelegenheid"
2015-05-21,29279,,242,https://zoek.officielebekendmakingen.nl/kst-29279-242,"vaste commissie voor Veiligheid en Justitie"
2015-05-21,34000,IV,48,https://zoek.officielebekendmakingen.nl/kst-34000-IV-48,"vaste commissie voor Koninkrijksrelaties"
2015-05-21,29628,,532,https://zoek.officielebekendmakingen.nl/kst-29628-532,"vaste commissie voor Veiligheid en Justitie"
2015-05-21,31239,,189,https://zoek.officielebekendmakingen.nl/kst-31239-189,"vaste commissie voor Economische Zaken"
2015-05-21,28345,,133,https://zoek.officielebekendmakingen.nl/kst-28345-133,"vaste commissie voor Volksgezondheid, Welzijn en Sport"
2015-05-26,30950,,77,https://zoek.officielebekendmakingen.nl/kst-30950-77,"vaste commissie voor Binnenlandse Zaken"
2015-05-26,29023,,195,https://zoek.officielebekendmakingen.nl/kst-29023-195,"vaste commissie voor Economische Zaken"
2015-05-26,26643,,358,https://zoek.officielebekendmakingen.nl/kst-26643-358,"algemene commissie voor Wonen en Rijksdienst"
2015-05-26,29247,,210,https://zoek.officielebekendmakingen.nl/kst-29247-210,"vaste commissie voor Volksgezondheid, Welzijn en Sport"
2015-05-26,29453,,384,https://zoek.officielebekendmakingen.nl/kst-29453-384,"algemene commissie voor Wonen en Rijksdienst"
2015-05-26,32637,,182,https://zoek.officielebekendmakingen.nl/kst-32637-182,"vaste commissie voor Economische Zaken"
2015-05-27,30196,,315,https://zoek.officielebekendmakingen.nl/kst-30196-315,"vaste commissie voor Economische Zaken"
2015-05-27,33650,,48,https://zoek.officielebekendmakingen.nl/kst-33650-48,"vaste commissie voor Onderwijs, Cultuur en Wetenschap"
2015-05-27,32300,,10,https://zoek.officielebekendmakingen.nl/kst-32300-10,"vaste commissie voor Onderwijs, Cultuur en Wetenschap"
2015-05-27,21501,32,842,https://zoek.officielebekendmakingen.nl/kst-21501-32-842,"vaste commissie voor Economische Zaken"
2015-05-28,26448,,535,https://zoek.officielebekendmakingen.nl/kst-26448-535,"vaste commissie voor Sociale Zaken en Werkgelegenheid"
2015-05-28,29279,,243,https://zoek.officielebekendmakingen.nl/kst-29279-243,"vaste commissie voor Sociale Zaken en Werkgelegenheid"
2015-05-28,21501,02,1504,https://zoek.officielebekendmakingen.nl/kst-21501-02-1504,"vaste commissie voor Buitenlandse Zaken"
2015-05-28,32852,,26,https://zoek.officielebekendmakingen.nl/kst-32852-26,"algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking"
2015-05-28,32605,,165,https://zoek.officielebekendmakingen.nl/kst-32605-165,"algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking"
2015-05-28,17050,,505,https://zoek.officielebekendmakingen.nl/kst-17050-505,"vaste commissie voor Veiligheid en Justitie"
2015-06-04,29507,,136,https://zoek.officielebekendmakingen.nl/kst-29507-136,"vaste commissie voor Financiën"
2015-06-04,33321,,6,https://zoek.officielebekendmakingen.nl/kst-33321-6,"vaste commissie voor Defensie"
2015-06-04,32670,,99,https://zoek.officielebekendmakingen.nl/kst-32670-99,"vaste commissie voor Economische Zaken"
2015-06-04,29544,,619,https://zoek.officielebekendmakingen.nl/kst-29544-619,"vaste commissie voor Sociale Zaken en Werkgelegenheid"
2015-06-08,34000,VI,87,https://zoek.officielebekendmakingen.nl/kst-34000-VI-87,"vaste commissie voor Veiligheid en Justitie"
2015-06-08,32852,,27,https://zoek.officielebekendmakingen.nl/kst-32852-27,"algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking"
2015-06-08,28684,,442,https://zoek.officielebekendmakingen.nl/kst-28684-442,"vaste commissie voor Veiligheid en Justitie"
2015-06-08,28345,,134,https://zoek.officielebekendmakingen.nl/kst-28345-134,"vaste commissie voor Volksgezondheid, Welzijn en Sport"
2015-06-10,27925,,537,https://zoek.officielebekendmakingen.nl/kst-27925-537,"vaste commissie voor Buitenlandse Zaken"
2015-06-10,34000,VI,88,https://zoek.officielebekendmakingen.nl/kst-34000-VI-88,"vaste commissie voor Veiligheid en Justitie"
2015-06-10,29628,,533,https://zoek.officielebekendmakingen.nl/kst-29628-533,"vaste commissie voor Veiligheid en Justitie"
2015-06-10,34000,VII,47,https://zoek.officielebekendmakingen.nl/kst-34000-VII-47,"vaste commissie voor Binnenlandse Zaken"
2015-06-10,22112,,1976,https://zoek.officielebekendmakingen.nl/kst-22112-1976,"vaste commissie voor Economische Zaken"
2015-06-15,33783,,20,https://zoek.officielebekendmakingen.nl/kst-33783-20,"vaste commissie voor Buitenlandse Zaken"
2015-06-15,21501,07,1265,https://zoek.officielebekendmakingen.nl/kst-21501-07-1265,"vaste commissie voor Financiën"
2015-06-15,29924,,125,https://zoek.officielebekendmakingen.nl/kst-29924-125,"vaste commissie voor Binnenlandse Zaken"
2015-06-15,33625,,166,https://zoek.officielebekendmakingen.nl/kst-33625-166,"algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking"
2015-06-15,33829,,10,https://zoek.officielebekendmakingen.nl/kst-33829-10,"vaste commissie voor Binnenlandse Zaken"
2015-06-15,21501,07,1266,https://zoek.officielebekendmakingen.nl/kst-21501-07-1266,"vaste commissie voor Financiën"
2015-06-16,26695,,103,https://zoek.officielebekendmakingen.nl/kst-26695-103,"vaste commissie voor Onderwijs, Cultuur en Wetenschap"
2015-06-16,29984,,606,https://zoek.officielebekendmakingen.nl/kst-29984-606,"vaste commissie voor Infrastructuur en Milieu"
2015-06-17,29544,,623,https://zoek.officielebekendmakingen.nl/kst-29544-623,"vaste commissie voor Sociale Zaken en Werkgelegenheid"
2015-06-18,21501,02,1510,https://zoek.officielebekendmakingen.nl/kst-21501-02-1510,"algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking"
