datum gepubliceerd,dossier nr,dossier toevoeging,kamerstuk ondernummer,url
2010-06-14,28676,,111,https://zoek.officielebekendmakingen.nl/kst-28676-111
2010-06-14,32317,,16,https://zoek.officielebekendmakingen.nl/kst-32317-16
2010-06-14,21501,31,215,https://zoek.officielebekendmakingen.nl/kst-21501-31-215
2010-06-14,28325,,126,https://zoek.officielebekendmakingen.nl/kst-28325-126
2010-06-14,29398,,230,
2010-06-21,31371,,344,https://zoek.officielebekendmakingen.nl/kst-31371-344
2010-06-22,21501,07,741,https://zoek.officielebekendmakingen.nl/kst-21501-07-741
2010-07-05,31796,,19,https://zoek.officielebekendmakingen.nl/kst-31796-19
2010-07-05,32123,A,134,https://zoek.officielebekendmakingen.nl/kst-32123-A-134
2010-07-05,31371,,347,https://zoek.officielebekendmakingen.nl/kst-31371-347
2010-07-12,31322,,92,https://zoek.officielebekendmakingen.nl/kst-31322-92
2010-07-12,31058,,30,https://zoek.officielebekendmakingen.nl/kst-31058-30
2010-07-12,31495,,22,https://zoek.officielebekendmakingen.nl/kst-31495-22
2010-07-12,21501,33,283,https://zoek.officielebekendmakingen.nl/kst-21501-33-283
2010-07-15,21501,20,481,https://zoek.officielebekendmakingen.nl/kst-21501-20-481
2010-07-15,31270,,24,https://zoek.officielebekendmakingen.nl/kst-31270-24
2010-07-15,30895,,65,https://zoek.officielebekendmakingen.nl/kst-30895-65
2010-07-15,21501,32,407,https://zoek.officielebekendmakingen.nl/kst-21501-32-407
2010-07-15,30413,,148,https://zoek.officielebekendmakingen.nl/kst-30413-148
2010-07-19,30212,,78,https://zoek.officielebekendmakingen.nl/kst-30212-78
2010-07-19,29048,,51,https://zoek.officielebekendmakingen.nl/kst-29048-51
2010-07-20,29659,,61,https://zoek.officielebekendmakingen.nl/kst-29659-61
2010-07-20,29521,,147,https://zoek.officielebekendmakingen.nl/kst-29521-147
2010-07-20,31490,,46,https://zoek.officielebekendmakingen.nl/kst-31490-46
2010-07-20,30536,,124,https://zoek.officielebekendmakingen.nl/kst-30536-124
2010-07-20,31874,,76,https://zoek.officielebekendmakingen.nl/kst-31874-76
